Step,CPU,TotEng,KinEng,PotEng,E_vdwl,E_coul,E_long,Temp,Press,Volume,Density
77000,284.85899,19134.478,18636.852,497.62586,-2764.8132,54906.728,-71923.621,361.84257,-73.951843,231567.93,1.3292133
78000,288.43968,18809.294,18556.692,252.60166,-2752.1265,54818.081,-71949.219,360.28623,170.68127,231581.07,1.3291379
79000,292.21512,19248.322,18665.853,582.46954,-2701.1703,54901.827,-71947.435,362.40562,112.89351,230792.68,1.3336782
80000,296.11598,19222.404,18704.932,517.47152,-2870.0762,54829.356,-71926.503,363.16437,-0.28761472,230422.73,1.3358195
81000,299.70852,19057.412,18557.044,500.36798,-2832.895,54948.105,-71924.877,360.29306,-82.731426,231485.54,1.3296864
82000,303.31484,19095.155,18595.989,499.16654,-2818.6525,54845.804,-71918.092,361.04918,264.43331,230580.83,1.3349036
83000,306.87099,19308.667,18803.063,505.60366,-2772.8215,54873.19,-71939.212,365.06962,-132.70665,232455.16,1.32414
84000,310.3887,18955.012,18574.741,380.27054,-2907.318,54849.296,-71921.362,360.63665,-72.687374,230582.54,1.3348937
85000,314.76164,19021.869,18684,337.86943,-2782.1144,54784.902,-71955.704,362.75795,90.965177,231234.41,1.3311305
86000,318.59078,19088.31,18511.573,576.73683,-2833.1512,54835.053,-71938.758,359.41021,-381.09049,232591.77,1.3233623
87000,322.18971,18735.723,18465.02,270.70344,-2849.0022,54803.782,-71926.538,358.50636,-66.595014,231234.17,1.3311319
88000,325.73689,19303.62,18736.777,566.84278,-2754.4404,54882.143,-71940.443,363.78265,69.028386,231830.34,1.3277088
89000,329.23123,19163.78,18740.596,423.1844,-2787.7162,54841.712,-71934.174,363.85679,-70.99416,231163.21,1.3315405
90000,333.09294,19244.957,18575.457,669.49933,-2769.8372,54936.768,-71952.339,360.65056,-115.39697,231848.23,1.3276063
91000,336.84839,19108.97,18628.146,480.82358,-2789.3315,54833.452,-71944.475,361.67353,77.650488,231264.22,1.3309589
92000,340.45082,18929.24,18503.491,425.74897,-2811.3961,54867.917,-71944.989,359.25331,168.32958,230525.36,1.3352248
93000,344.03843,19284.007,18690.211,593.79659,-2798.4923,54766.144,-71926.464,362.87854,92.82745,230764.65,1.3338403
94000,347.59577,18982.349,18610.664,371.6853,-2851.4081,54747.413,-71944.505,361.33411,-149.07454,231077.77,1.3320329
95000,351.30944,19047.866,18706.643,341.22329,-2814.363,54821.091,-71936.556,363.19759,84.728176,230047.44,1.3379987
96000,355.58015,19216.535,18762.346,454.18975,-2900.1116,54827.539,-71925.337,364.27908,29.242613,230689.03,1.3342775
97000,359.28774,19092.332,18773.578,318.75385,-2802.9592,54751.896,-71933.869,364.49716,-12.941509,230779.9,1.3337521
98000,363.1648,19122.243,18764.706,357.53623,-2856.5918,54811.943,-71950.031,364.32491,-25.451955,230497.24,1.3353877
99000,366.80309,19285.043,18741.138,543.90492,-2840.4283,54826.833,-71931.939,363.86732,-129.86335,229960.41,1.3385051
100000,370.37556,19152.537,18600.801,551.73629,-2737.8022,54737.891,-71934.828,361.14261,221.94517,231037.95,1.3322624
101000,374.29513,19240.359,18826.699,413.65913,-2766.5415,54759.744,-71950.768,365.52853,112.13744,230555.24,1.3350518
102000,377.96611,19131.729,18762.597,369.13163,-2859.6423,54854.342,-71951.624,364.28396,-38.392316,230775.99,1.3337747
103000,381.61518,18965.285,18683.551,281.73365,-2814.4058,54799.745,-71981.871,362.74925,-203.02952,229492.69,1.341233
104000,385.24957,18844.56,18433.694,410.86595,-2863.6613,54756.731,-71923.275,357.89816,-2.2466793,229734.86,1.3398192
105000,388.78956,19778.901,19015.549,763.35207,-2818.6459,54792.15,-71913.543,369.19512,-52.412066,231559.74,1.3292603
106000,392.70449,19046.808,18510.676,536.13201,-2859.1631,54829.317,-71933.894,359.39279,-170.52165,229459.8,1.3414253
107000,396.90814,19265.03,18864.711,400.31971,-2816.5372,54825.737,-71927.656,366.26654,155.90897,229785.72,1.3395226
108000,400.45812,18955.008,18566.446,388.56142,-2898.3408,54784.4,-71915.787,360.4756,65.943353,229059.01,1.3437724
109000,404.06865,19202.368,18836.168,366.19967,-2788.143,54790.465,-71922.433,365.71237,96.072811,229903.69,1.3388353
110000,407.70891,18761.246,18522.268,238.97775,-2855.6312,54805.243,-71940.766,359.61787,49.571288,228428.97,1.3474787
111000,411.62138,19267.099,18691.659,575.43997,-2732.1547,54793.684,-71942.622,362.90667,45.194201,231044.34,1.3322256
112000,415.50566,18862.508,18519.131,343.37697,-2870.3818,54796.081,-71954.304,359.55696,-92.275645,230725.18,1.3340684
113000,419.10827,19105.738,18738.748,366.98984,-2875.345,54736.035,-71920.351,363.82092,-184.17941,230143.31,1.3374413
114000,422.65206,19055.583,18522.59,532.99272,-2787.4687,54837.597,-71942.05,359.62411,104.30827,231088.34,1.3319719
115000,426.16714,19125.499,18640.909,484.59037,-2819.9312,54780.127,-71940.611,361.92133,-20.997652,230441.54,1.3357105
116000,429.66756,19364.658,18953.739,410.9187,-2882.2881,54856.778,-71928.311,367.99506,-125.50576,230291.02,1.3365835
117000,433.88163,19183.535,18732.56,450.97456,-2864.3281,54891.548,-71950.708,363.70078,41.446484,231826.96,1.3277281
118000,437.8474,19451.653,18761.113,690.53908,-2846.4893,54887.596,-71940.862,364.25515,-172.98662,230828.6,1.3334707
119000,441.42087,19078.785,18698.41,380.37454,-2899.9714,54928.779,-71945.093,363.03774,-146.37294,231367.05,1.3303674
120000,444.98942,18970.43,18527.264,443.16631,-2770.2251,54817.838,-71935.63,359.71486,76.853609,229767.14,1.339631
121000,448.50506,19047.957,18636.837,411.12005,-2779.409,54883.09,-71929.946,361.84227,-49.039978,230323.57,1.3363946
122000,452.36132,18968.305,18719.739,248.56596,-2811.8232,54827.561,-71928.925,363.45184,-102.94571,230363.08,1.3361654
123000,456.15656,19268.12,18780.726,487.39435,-2780.2069,54863.696,-71936.257,364.63593,72.532515,230663.64,1.3344244
124000,459.75772,19134.544,18813.733,320.81107,-2868.9103,54883.343,-71948.393,365.27679,-80.392349,231051.37,1.332185
125000,463.28421,19013.383,18591.503,421.88048,-2911.9639,54992.268,-71932.324,360.96208,-51.585254,232159.09,1.3258287
126000,466.92017,19138.444,18701.266,437.17773,-2822.2665,54858.672,-71918.887,363.09319,-73.071364,231346.55,1.3304853
127000,470.50482,19192.985,18577.18,615.80516,-2736.8752,54798.676,-71934.931,360.684,66.205842,230844.23,1.3333804
128000,474.75568,19361.276,18804.107,557.16944,-2829.8789,54849,-71922.044,365.08988,-184.57585,231158.58,1.3315672
129000,478.62431,19089.302,18576.813,512.48922,-2778.2794,54914.209,-71921.681,360.67687,-17.658718,230790.79,1.3336892
130000,482.18535,19617.354,18796.749,820.60504,-2695.1619,54909.54,-71918.889,364.94703,167.12765,232322.31,1.3248972
131000,485.77899,19206.353,18661.096,545.25676,-2773.8698,54781.673,-71953.321,362.31328,-181.21274,230222.37,1.3369821
132000,489.31596,19351.717,18763.43,588.28768,-2734.3155,54865.2,-71938.478,364.30012,-111.56037,231511.27,1.3295387
133000,493.21872,19186.171,18811.973,374.19706,-2812.1527,54817.3,-71935.955,365.24262,87.728409,231204.26,1.3313041
134000,496.9622,18974.835,18559.249,415.58592,-2794.2557,54723.505,-71949.062,360.33587,-219.97188,229855.08,1.3391185
135000,500.57992,19096.364,18803.869,292.4942,-2871.5046,54897.339,-71933.156,365.08528,-220.28296,231098.53,1.3319132
136000,504.165,19302.558,18864.15,438.40797,-2940.5887,54897.849,-71936.511,366.25565,64.949496,229193.56,1.3429835
137000,507.71791,19026.576,18680.507,346.06928,-2796.7966,54799.659,-71935.58,362.69014,-107.46773,231213.83,1.331249
138000,511.44174,18904.94,18575.776,329.1648,-2902.7892,54795.56,-71926.309,360.65674,-193.36375,229415.41,1.3416849
139000,515.65848,19268.434,18645.862,622.57195,-2844.0468,54824.028,-71943.805,362.01749,99.507157,229771.79,1.3396039
140000,519.34278,18982.301,18504.719,477.58132,-2809.2171,54821.461,-71935.335,359.27715,-162.70966,231811.57,1.3278163
141000,522.95706,19210.39,18803.509,406.88177,-2778.0658,54800.563,-71942.526,365.07827,-21.916459,231051.75,1.3321829
142000,526.49992,19268.013,18733.95,534.06268,-2847.7914,54922.948,-71924.919,363.72776,-172.44831,231799.27,1.3278868
143000,530.09375,18762.766,18520.406,242.3598,-2849.4833,54806.466,-71924.847,359.58171,73.563598,229698.26,1.3400327
144000,534.01891,19259.832,18946.015,313.81739,-2870.044,54859.774,-71916.262,367.8451,177.4572,231799.52,1.3278853
145000,537.70712,19281.495,18695.896,585.59863,-2784.901,54890.802,-71924.136,362.98893,9.8765545,230749.44,1.3339282
146000,541.22287,19164.872,18552.448,612.42392,-2744.7131,54953.508,-71950.722,360.20382,-19.165705,232584.71,1.3234025
147000,544.70874,19090.011,18625.275,464.73637,-2847.5592,54810.145,-71916.237,361.61779,-106.05889,229770.32,1.3396125
148000,548.18014,19143.451,18731.898,411.55322,-2815.9412,54842.332,-71947.1,363.68792,-9.4340355,230711.92,1.3341451
149000,552.03424,19383.141,18779.464,603.6771,-2761.8705,54842.183,-71945.169,364.61143,76.354949,232879.55,1.3217269
